---
permalink: /projects/the-cost-of-education/brief/data/district-7.csv
---
school,type,district,designation,title_i,grades,adm,math_high,english_high,math_elementary,english_elementary,math_middle,english_middle,spending,spending_difference
Apison Elementary,Elementary,7,,0,PreK-3-5,628,0,0,0.789,0.6,0,0,6551.3,-682.85
Bess T. Shepherd Elementary,Elementary,7,,1,Kindergarten-5,553,0,0,0.418,0.175,0,0,7201.32,-32.83
East Brainerd Elementary,Elementary,7,,1,Kindergarten-5,663,0,0,0.607,0.341,0,0,7101.79,-132.36
East Hamilton Middle-High,Middle,7,,0,Grades 6-12,1707,0.549,0.788,0,0,0.679,0.6,6712.9,-521.25
East Hamilton Middle-High,High,7,,0,Grades 6-12,1707,0.549,0.788,0,0,0.679,0.6,6712.9,-521.25
Westview Elementary,Elementary,7,,0,Kindergarten-5,706,0,0,0.79,0.554,0,0,6463.77,-770.38
