---
permalink: "/projects/the-cost-of-education/brief/data/district-6.csv"
---
school,type,district,designation,title_i,grades,adm,math_high,english_high,math_elementary,english_elementary,math_middle,english_middle,spending,spending_difference
Brown Academy,Elementary,6,Magnet,1,Pre-Kindergarten-5,314,0,0,0.637,0.341,0,0,8427.49,1193.34
Center For Creative Arts,High,6,Magnet,0,Grades 6-12,585,0.546,0.947,0,0,0.708,0.759,7273.87,39.72
Lookout Mountain Elementary,Elementary,6,,0,Kindergarten-5,170,0,0,0.866,0.7,0,0,8764.21,1530.06
Lookout Valley Elementary,Elementary,6,,1,Pre-Kindergarten-5,284,0,0,0.616,0.443,0,0,7996.22,762.07
Lookout Valley Middle-High,Middle,6,,1,Grades 6-12,366,0.421,0.7,0,0,0.26,0.52,8963.02,1728.87
Lookout Valley Middle-High,High,6,,1,Grades 6-12,366,0.421,0.7,0,0,0.26,0.52,8963.02,1728.87
Normal Park Lower,Elementary,6,Magnet,0,Pre-Kindergarten-8,779,0,0,0.884,0.57,0.648,0.775,7807.69,573.54
Normal Park Upper,Middle,6,Magnet,0,Pre-Kindergarten-8,779,0,0,0.884,0.57,0.648,0.775,7807.69,573.54
