---
permalink: /projects/the-cost-of-education/brief/data/district-8.csv
---
school,type,district,designation,title_i,grades,adm,math_high,english_high,math_elementary,english_elementary,math_middle,english_middle,spending,spending_difference
Barger Academy,Elementary,8,Magnet,1,Kindergarten-5,402,0,0,0.507,0.149,0,0,7577.87,343.72
CSLA,Elementary,8,Magnet,0,Kindergarten-8,410,0,0,0.951,0.707,0.782,0.848,7889.74,655.59
CSLA,Middle,8,Magnet,0,Kindergarten-8,410,0,0,0.951,0.707,0.782,0.848,7889.74,655.59
East Ridge Elementary,Elementary,8,,1,PreK-3-5,933,0,0,0.417,0.172,0,0,6289.45,-944.7
East Ridge High,High,8,,1,Grades 9-12,785,0.448,0.424,0,0,0,0,7369.94,135.79
East Ridge Middle,Middle,8,,1,Grades 6-8,713,0,0,0,0,0.361,0.418,6461.07,-773.08
Spring Creek Elementary,Elementary,8,,1,Pre-Kindergarten-5,701,0,0,0.538,0.207,0,0,6957.52,-276.63
